NAME,STATUS,WATERSHED,COUNCIL_DI,PRIMARY_FE,SW_TREE_TR,SW_PLANTER,SW_BUMPOUT,RAIN_GARDE,SW_BASIN,INFILTRATI,POROUS_PAV,SWALE,SW_WETLAND,CISTERN_RA,GREEN_ROOF,OTHER,LINK,LONGITUDE,LATITUDE,LINK_1,LINK_2,LAT,LNG
Vare Recreation Center,In Planning,Schuylkill,2,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.18931441,39.93129301,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9313010711,-75.1893161869
Vacant Lot on Chelten Ave,In Design,TTF,8,Rain Garden, , , ,1 Rain Garden, , , , , , , , ,alt,-75.17210453,40.03770115,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/rain_garden,40.0377092355,-75.1721063113
Upland Way,In Design,Schuylkill,4,Stormwater Tree Trench,1 Stormwater Tree Trench, ,1 Stormwater Bumpout, , , , ,1 Swale, , , , ,alt,-75.24070747,39.9852652,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9852732666,-75.2407092645
Trenton Ave and Norris St,Constructed,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , ,1 Rain Garden, ,1 Infiltration/Storage Trench, , , , , , ,alt,-75.1318371,39.97933029,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9793383577,-75.1318388627
Trenton & Auburn Playground,In Construction, ,1,Stormwater Basin, , , , ,1 Stormwater Basin, , , , , , , ,alt,-75.11681155,39.9864648,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_basin,39.9864728716,-75.1168133068
"Thouron Ave, Mohican St, Rugby St, W Washington Ln (Pennypacker School)",In Design,TTF,9,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.15867626,40.06505695,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,40.0650650358,-75.1586780392
Thouron Ave and Cliveden St Alley,In Design,TTF,9,Other, , , , , , , , , , , , ,alt,-75.16201178,40.06707838,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools,40.0670864708,-75.1620135553
"Thompson, Elkhart, Edgemont, Indiana (Stokley Playground)",In Design,Delaware,1,Stormwater Tree Trench,2 Stormwater Tree Trenches, , , , , , , , , , , ,alt,-75.10700829,39.98222704,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9822351143,-75.107010044
"Thompson, Conestoga",In Design,Schuylkill,"3, 4",Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.22784012,39.97293538,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.9729434495,-75.2278419083
Thompson St and Huntingdon St,In Design,Delaware,1,Stormwater Tree Trench,1 Stormwater Tree Trench, , , , , , , , , , , ,alt,-75.1178129,39.97697993,http://www.phillywatersheds.org/what_were_doing/,green_infrastructure/tools/stormwater_tree_trench,39.976987999,-75.1178146543
